EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2012/6637,Extension of existing open cut coal mine at the Bulga Coal Complex,Under review,2014-05-09,2036-12-31,BULGA COAL MANAGEMENT PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a895f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2012/6637,Extension of existing open cut coal mine at the Bulga Coal Complex,Under review,2014-05-09,2036-12-31,BULGA COAL MANAGEMENT PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a895f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2012/6637,Extension of existing open cut coal mine at the Bulga Coal Complex,Under review,2014-05-09,2036-12-31,BULGA COAL MANAGEMENT PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a895f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2012/6637,Extension of existing open cut coal mine at the Bulga Coal Complex,Under review,2014-05-09,2036-12-31,BULGA COAL MANAGEMENT PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a895f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2013/6965,"Kanmantoo Copper Mine Expansion, SA",Under review,2014-05-06,2064-12-31,HILLGROVE RESOURCES LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7b94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2012/6562,"Townsville Ring Road, Section 4, QLD",Under review,2014-05-02,2049-05-06,Department of Transport and Main Roads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8795f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2012/6562,"Townsville Ring Road, Section 4, QLD",Under review,2014-05-02,2049-05-06,Department of Transport and Main Roads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8795f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2012/6393,Construction of South Deposit Tailing Storage Facility,Under review,2014-04-24,2045-12-31,GRANGE RESOURCES TASMANIA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=760e9be9-2753-ec11-80cf-00505684c137,2023-02-19
2012/6393,Construction of South Deposit Tailing Storage Facility,Under review,2014-04-24,2045-12-31,GRANGE RESOURCES TASMANIA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=760e9be9-2753-ec11-80cf-00505684c137,2023-02-19
2010/5457,Drake Open Cut Coal Mine,Under review,2014-04-22,2044-12-31,Drake Coal Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7056a260-7fa4-e511-9621-005056ba00a7,2023-02-19
