EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2009/5081,Warkworth Mine Extension,Under review,2012-08-09,2033-03-31,WARKWORTH MINING LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2009/5081,Warkworth Mine Extension,Under review,2012-08-09,2033-03-31,WARKWORTH MINING LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2009/5081,Warkworth Mine Extension,Under review,2012-08-09,2033-03-31,WARKWORTH MINING LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2009/5081,Warkworth Mine Extension,Under review,2012-08-09,2033-03-31,WARKWORTH MINING LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2009/5081,Warkworth Mine Extension,Under review,2012-08-09,2033-03-31,WARKWORTH MINING LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2009/5081,Warkworth Mine Extension,Under review,2012-08-09,2033-03-31,WARKWORTH MINING LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2009/5081,Warkworth Mine Extension,Under review,2012-08-09,2033-03-31,WARKWORTH MINING LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2009/5081,Warkworth Mine Extension,Under review,2012-08-09,2033-03-31,WARKWORTH MINING LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2011/6192,Newmont Boddington Gold Interim Permit,Under review,2012-08-01,2032-06-30,NEWMONT BODDINGTON GOLD PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1b95f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2010/5752,Newcastle gas storage facility project,Under review,2012-07-18,2052-06-30,AGL Energy Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cb92f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
