EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2011/5815,Yandicoogina Junction South West and Oxbow Iron Ore Project,Under review,2012-11-20,2025-09-30,Hamersley Iron- Yandi Pty,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fe92f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2011/6137,Urban and Residential Development at Lot 9 Brighton,Under review,2012-10-19,2030-12-31,SATTERLEY PROPERTY GROUP PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f894f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2011/6137,Urban and Residential Development at Lot 9 Brighton,Under review,2012-10-19,2030-12-31,SATTERLEY PROPERTY GROUP PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f894f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2011/6066,Transmission Line Project,Under review,2012-10-16,2062-03-31,Environmental Networks Corporation (Western Power),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ee94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2011/6066,Transmission Line Project,Under review,2012-10-16,2062-03-31,Environmental Networks Corporation (Western Power),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ee94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2011/6066,Transmission Line Project,Under review,2012-10-16,2062-03-31,Environmental Networks Corporation (Western Power),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ee94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2011/6066,Transmission Line Project,Under review,2012-10-16,2062-03-31,Environmental Networks Corporation (Western Power),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ee94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2011/5928,"Urban Development Ravendale Drive, Coodanup Drive & Wanjeep Street",Under review,2012-10-05,2024-12-31,ENCOURAGE PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4793f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2008/4468,"Coal Terminal Expansion, and Associated Infrastructure",Under review,2012-10-04,2053-09-01,HANCOCK COAL INFRASTRUCTURE PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b790f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2008/4468,"Coal Terminal Expansion, and Associated Infrastructure",Under review,2012-10-04,2053-09-01,HANCOCK COAL INFRASTRUCTURE PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b790f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
