EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2009/4835,Construction of NW Homemaker Shopping Centre,Under review,2010-07-16,2020-07-01,LAUNCESTON GASWORKS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1b91f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2010/5476,Honeywood Estate Development,Under review,2010-07-05,2025-12-31,SATTERLEY PROPERTY GROUP,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4292f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2010/5476,Honeywood Estate Development,Under review,2010-07-05,2025-12-31,SATTERLEY PROPERTY GROUP,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4292f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2009/4849,Development of new Chiltern Quarry,Under review,2010-07-02,2040-06-30,Holcim (Australia) Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1f91f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2009/4849,Development of new Chiltern Quarry,Under review,2010-07-02,2040-06-30,Holcim (Australia) Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1f91f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2007/3574,Development and Construction of Rocky Springs Masterplanned Community,Under review,2010-07-02,2060-07-02,DELFIN LEND LEASE,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2b94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2009/4862,Harrington Grove 900-Lot Residential Development,Under review,2010-06-24,2039-12-31,DANDALOO PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2791f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2009/4862,Harrington Grove 900-Lot Residential Development,Under review,2010-06-24,2039-12-31,DANDALOO PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2791f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2008/4497,Townsville Commercial Marine Precinct,Under review,2010-05-24,2060-05-15,Port of Townsville Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0c6096f7-d650-ec11-80cf-00505684c137,2023-02-14
2009/4759,Hay Point Coal Terminal Expansion,Under review,2010-05-14,2023-06-30,BM ALLIANCE COAL OPERATIONS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fae2f181-e7dd-e611-bdfe-005056ba00a8,2023-02-14
