EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2017/8129,"Coppabella Wind Farm, 35 km west of Yass, NSW",Under review,2018-11-12,2050-11-30,COPPABELLA WIND FARM PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=18237a6d-7052-ec11-80d2-00505684c563,2023-02-14
2007/3643,Ellensfield Underground Coal Mine,Under review,2018-11-09,2060-08-01,Fitzroy (CQ) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0c46d290-bd0d-eb11-9650-005056842ad1,2023-02-14
2018/8141,"Clarke Creek Wind Farm, Qld",Under review,2018-11-09,2050-11-30,Clarke Creek Energy Pty Ltd (ACN: 614 169 096) and Isaac Wind & Solar Energy Pty Ltd (ACN: 615 593 078),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=200d6d29-3153-ec11-80cf-00505684c137,2023-02-14
2018/8141,"Clarke Creek Wind Farm, Qld",Under review,2018-11-09,2050-11-30,Clarke Creek Energy Pty Ltd (ACN: 614 169 096) and Isaac Wind & Solar Energy Pty Ltd (ACN: 615 593 078),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=200d6d29-3153-ec11-80cf-00505684c137,2023-02-14
2017/7918,"415-425 Cooper Street, Epping, Victoria",Under review,2018-11-05,2038-09-25,Cooper Park Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=dba53699-7f98-e911-8f1d-00505684324c,2023-02-14
2016/7757,"Bowelling curves realignment - Collie Lake King Road 64.76 - 69.84 SLK, WA",Under review,2018-10-25,2023-04-21,Main Roads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ead0e709-2c53-ec11-80cf-00505684c137,2023-02-14
2015/7628,"Grampian Drive Deebing Heights Residential Development, Qld",Under review,2018-10-16,2038-09-01,Deebing Heights Land Partners Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c4b4cf4c-4fd8-ea11-942e-00505684324c,2023-02-14
2016/7808,"Residential development, Lots 8-9 and Lot 2 Bronzewing St and Byron Road, Tahmoor, NSW",Under review,2018-10-16,2028-10-16,Common Ground Property (NSW) Pty Ltd and Ironlaw Pty. Limited & Wilona Pty Limited and Mary Ida Purnell,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=af12a670-6b52-ec11-80d2-00505684c563,2023-02-14
2017/8121,"Sapphire Solar Farm Project, 28km east of Inverell, NSW",Under review,2018-10-15,2043-12-31,Sapphire Solar Farm Pty Ltd (ACN 620 649 069) and Sapphire Battery Nominees Pty Ltd ACN 641182 998 in its capacity as trustee of the Sapphire Battery Trust,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a97d446a-34ac-e911-ad32-00505684324c,2023-02-14
2017/8106,"West Sale Airport Runway Extension, Vic",Under review,2018-10-11,2038-08-10,WELLINGTON SHIRE COUNCIL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=53b9e3fc-a601-e911-9956-005056ba00a8,2023-02-14
