EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2013/6967,"Hartley Quarry Stage 2, NSW",Under review,2015-10-19,2050-06-30,HY-TEC INDUSTRIES PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d3f6d6fe-5554-ea11-a9f9-005056842ad1,2023-02-17
2013/6881,"Springvale Longwall Mine Extension Project, NSW",Under review,2015-10-15,2035-10-08,SPRINGVALE COAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=efdb2bb5-a7b6-ea11-8731-005056842ad1,2023-02-17
2010/5736,Carmichael Coal Mine and Rail Project,Under review,2015-10-14,2090-06-30,ADANI MINING PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=983eede2-4bfd-ea11-9650-005056842ad1,2023-02-17
2013/6885,"North Galilee Basin Rail Project, Qld",Under review,2015-10-14,2104-09-30,ADANI MINING PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=022d3854-2c53-ec11-80cf-00505684c137,2023-02-17
2012/6479,"Watergarden Town Centre Site at 399 Melton Highway, Taylor Lakes, VIC",Under review,2015-10-14,2025-12-31,WATERGARDEN PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1e87a91f-423f-e611-be03-005056ba00a8,2023-02-17
2012/6479,"Watergarden Town Centre Site at 399 Melton Highway, Taylor Lakes, VIC",Under review,2015-10-14,2025-12-31,WATERGARDEN PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1e87a91f-423f-e611-be03-005056ba00a8,2023-02-17
2013/6771,"Manzeene village residential/commercial subdivision and assoc infrastructure, VIC",Under review,2015-09-25,2040-07-21,DACLAND PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5a8e259d-e48d-eb11-80c3-00505684c137,2023-02-17
2014/7309,"Tunney Passing Lanes, 30km S of Kojonup, WA",Under review,2015-08-31,2019-06-30,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d4c3744a-14c7-ea11-8731-005056842ad1,2023-02-17
2012/6625,Dubbo Zirconia Project,Under review,2015-08-24,2057-12-31,AUSTRALIAN ZIRCONIA LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f27aa677-7fa3-e911-820b-00505684324c,2023-02-17
2013/6865,"Red Hill Mining Project,20kms north of Moranbah, Qld",Under review,2015-08-13,2052-12-31,BM COAL ALLIANCE OPERATIONS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=eed0e709-2c53-ec11-80cf-00505684c137,2023-02-17
