EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2007/3530,Westlink Industrial Estate,Under review,2008-01-29,2028-01-03,LEIGHTON PROPERTIES VIC PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2194f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2005/1996,"Tourist - Residential Development, off Jackey Jackey Street",Under review,2008-01-18,2038-01-31,Ross and Elizabeth Plapp,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7d93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2005/1996,"Tourist - Residential Development, off Jackey Jackey Street",Under review,2008-01-18,2038-01-31,Ross and Elizabeth Plapp,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7d93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2005/1996,"Tourist - Residential Development, off Jackey Jackey Street",Under review,2008-01-18,2038-01-31,Ross and Elizabeth Plapp,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7d93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2005/1996,"Tourist - Residential Development, off Jackey Jackey Street",Under review,2008-01-18,2038-01-31,Ross and Elizabeth Plapp,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7d93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2005/2059,install & operate gas pipeline,Under review,2008-01-15,2057-12-31,Central QueensLand Pipeline Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8393f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2006/3211,Hinze Dam Upgrade,Under review,2007-12-20,2057-12-31,Gold Coast City Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d130a5e6-473f-e711-b32b-005056ba00a7,2023-02-17
2002/576,Port Phillip Bay Channel Deepening,Under review,2007-12-20,2012-12-20,PORT OF MELBOURNE CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1460fec4-6067-e511-b4b8-005056ba00ab,2023-02-17
2002/576,Port Phillip Bay Channel Deepening,Under review,2007-12-20,2012-12-20,PORT OF MELBOURNE CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1460fec4-6067-e511-b4b8-005056ba00ab,2023-02-17
2002/576,Port Phillip Bay Channel Deepening,Under review,2007-12-20,2012-12-20,PORT OF MELBOURNE CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1460fec4-6067-e511-b4b8-005056ba00ab,2023-02-17
