EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2010/5566,Maules Creek Coal Project,Under review,2013-02-11,2053-12-30,ASTON COAL 2 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7592f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2010/5566,Maules Creek Coal Project,Under review,2013-02-11,2053-12-30,ASTON COAL 2 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7592f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2010/5566,Maules Creek Coal Project,Under review,2013-02-11,2053-12-30,ASTON COAL 2 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7592f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2010/5566,Maules Creek Coal Project,Under review,2013-02-11,2053-12-30,ASTON COAL 2 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7592f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2011/5800,Diversion of a stretch of Coral Creek to expand the northern reach of the open-cut pit mine,Under review,2013-02-07,2032-12-30,SONOMA MINE MANAGEMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f892f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2010/5640,Princes Highway Duplication - Traralgon East to Fulham,Under review,2013-01-23,2027-01-31,VicRoads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9692f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2010/5640,Princes Highway Duplication - Traralgon East to Fulham,Under review,2013-01-23,2027-01-31,VicRoads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9692f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2012/6392,Spreyton Concrete Sleeper Replacement Program,Under review,2012-12-24,2024-01-30,TASMANIAN RAILWAY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5a95f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2011/6153,Somerville Drive Extension,Under review,2012-12-13,2020-12-31,CITY OF BUNBURY,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0395f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2005/2159,Ella Bay Residential and Tourism Development,Under review,2012-12-11,2063-01-26,SATORI RESORTS ELLA BAY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9593f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
