EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2005/2394,Subdivision Lot 1 Dawesville Rd,Under review,2007-08-29,2027-12-31,WATERMARK ENTERPRISES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8660fec4-6067-e511-b4b8-005056ba00ab,2023-03-04
2005/2394,Subdivision Lot 1 Dawesville Rd,Under review,2007-08-29,2027-12-31,WATERMARK ENTERPRISES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8660fec4-6067-e511-b4b8-005056ba00ab,2023-03-04
2005/2202,Wollar to Wellington 330kV Transmission Line Project,Under review,2007-08-14,2057-08-01,NSW Electricity Network Operations Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a593f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2007/3330,Hume Highway upgrade,Under review,2007-08-02,2057-08-01,NSW ROADS AND MARITIME SERVICES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=db93f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2007/3330,Hume Highway upgrade,Under review,2007-08-02,2057-08-01,NSW ROADS AND MARITIME SERVICES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=db93f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2007/3330,Hume Highway upgrade,Under review,2007-08-02,2057-08-01,NSW ROADS AND MARITIME SERVICES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=db93f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2007/3431,New dual carriageway from F3 Fwy to Branxton Link,Under review,2007-08-02,2057-08-01,NSW ROADS AND TRAFFIC AUTHORITY,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f493f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2006/3047,Opencut Gold Mine,Under review,2007-06-27,2027-12-30,Ark Mines Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cee7d901-d250-ec11-80cf-00505684c137,2023-03-04
2006/2504,Laverton activity centre and residential development,Under review,2007-06-27,2027-07-01,CEDAR WOODS PROPERTIES LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0476c856-17de-eb11-80c9-00505684c563,2023-03-04
2006/3190,"Residential Subdivision, Lot 2 on RP171875, Samarai Drive",Under review,2007-06-12,2027-12-31,Fraser Panarama Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c493f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
