EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2020/8640,"Residential Subdivision, 803-853 Taylors Road, Caroline Springs, 3023, Victoria",Under review,2021-12-15,2060-01-29,Jen & Jacq Developments Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7ccbd335-f766-ed11-9561-00224818a6aa,2023-03-04
2020/8839,Moorebank Avenue Realignment,Under review,2021-12-06,2051-12-02,National lntermodal Corporation,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7080c6f0-eb66-ed11-9561-00224818a6aa,2023-03-04
2020/8769,"Albany Ring Road Stages 2 and 3B, WA",Under review,2021-11-21,2056-11-30,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f6cc5691-e666-ed11-9561-00224818a6aa,2023-03-04
2018/8361,"Residential development of Lots 635, 739 and 740 on Deposited Plan 202751, Baldivis Road, Baldivis, WA",Under review,2021-11-18,2046-09-30,Novalee Nominees Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f8d067f6-fb66-ed11-9561-00224818a6aa,2023-03-04
2017/8094,"Yalyalup Mineral Sands Project, WA",Under review,2021-11-11,2071-11-29,DORAL MINERAL SANDS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=13770c84-4469-ed11-81ac-00224818aa41,2023-03-04
2020/8732,"Wellard Village Primary School development, part Lot 9074 Lambeth Circle, Wellard",Under review,2021-11-10,2047-12-30,Western Australian Department of Education,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=261b7b03-f366-ed11-9561-00224818a6aa,2023-03-04
2020/8732,"Wellard Village Primary School development, part Lot 9074 Lambeth Circle, Wellard",Under review,2021-11-10,2047-12-30,Western Australian Department of Education,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=261b7b03-f366-ed11-9561-00224818a6aa,2023-03-04
2020/8732,"Wellard Village Primary School development, part Lot 9074 Lambeth Circle, Wellard",Under review,2021-11-10,2047-12-30,Western Australian Department of Education,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=261b7b03-f366-ed11-9561-00224818a6aa,2023-03-04
2017/8035,"Great Northern Highway-Bindoon Bypass, WA",Under review,2021-10-13,2041-10-30,MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=25544314-3869-ed11-81ac-00224818aa41,2023-03-04
2020/8828,Kellyville Precinct,Under review,2021-10-12,2040-12-31,Landcom,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1d2cb1ab-ec66-ed11-9561-00224818a6aa,2023-03-04
