EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2015/7495,"Pilbara Iron Ore Project - Stage 2, Shire of Ashburton, Pilbara Region, WA",Under review,2016-11-14,2037-12-30,PIOP Mine Co NL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=67311c3e-2653-ec11-80cf-00505684c137,2023-03-04
2014/7391,"Construction and Operation of Western Sydney Airport, Badgerys Creek, NSW",Under review,2016-11-09,2016-11-09,Department of Infrastructure and Regional Development,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=70388f1d-3bd5-e911-8be7-00505684324c,2023-03-04
2014/7391,"Construction and Operation of Western Sydney Airport, Badgerys Creek, NSW",Under review,2016-11-09,2016-11-09,Department of Infrastructure and Regional Development,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=70388f1d-3bd5-e911-8be7-00505684324c,2023-03-04
2014/7263,"Pakenham East Stabling & Maintenance Depot, Pakenham, VIC",Under review,2016-11-07,2031-10-31,Public Transport Victoria,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1f385895-0840-e711-998c-005056ba00a8,2023-03-04
2015/7508,"Curragh Extension Project, Blackwater, QLD",Under review,2016-11-01,2046-11-29,Wesfarmers Curragh Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d32b5381-2653-ec11-80cf-00505684c137,2023-03-04
2014/7190,"Nambucca Crescent residential subdivision Pimpama, QLD",Under review,2016-10-24,2026-07-31,GTH Resorts No 15 Pty Ltd (ACN 635 466 698) as trustee for the GTH Resorts No 15 Unit Trust,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ea8544c6-f5a0-e811-bae0-005056ba00a8,2023-03-04
2014/7190,"Nambucca Crescent residential subdivision Pimpama, QLD",Under review,2016-10-24,2026-07-31,GTH Resorts No 15 Pty Ltd (ACN 635 466 698) as trustee for the GTH Resorts No 15 Unit Trust,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ea8544c6-f5a0-e811-bae0-005056ba00a8,2023-03-04
2014/7190,"Nambucca Crescent residential subdivision Pimpama, QLD",Under review,2016-10-24,2026-07-31,GTH Resorts No 15 Pty Ltd (ACN 635 466 698) as trustee for the GTH Resorts No 15 Unit Trust,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ea8544c6-f5a0-e811-bae0-005056ba00a8,2023-03-04
2016/7640,"Hunter Valley Coal Mining Operations North - State approved mining, NSW",Under review,2016-10-09,2030-12-30,HV Operations Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c203efdc-12de-eb11-80c6-00505684c137,2023-03-04
2016/7640,"Hunter Valley Coal Mining Operations North - State approved mining, NSW",Under review,2016-10-09,2030-12-30,HV Operations Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c203efdc-12de-eb11-80c6-00505684c137,2023-03-04
