EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2014/7120,"Vegetation clearing for future agricultural use, Bullsbrook, WA",Under review,2014-12-03,2024-12-31,ABN DEVELOPMENTS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6da8a20c-b6c7-e911-ae51-005056842ad1,2023-03-04
2013/7048,"'Lakelands East' residential development, Mandurah, WA",Under review,2014-12-03,2028-12-30,PEET MANDURAH SYNDICATE LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9794f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2012/6603,"Mary's Mount Blue Metal Quarry Expansion, NSW",Under review,2014-11-28,2064-12-31,GUNNEDAH GRAVEL PRODUCTS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9ca63e8e-48d4-e511-a6f0-005056ba00a7,2023-03-04
2013/6799,"Meteor Downs South Coal Project, central Qld",Under review,2014-11-25,2039-10-31,U and D Mining Industry (Australia) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9ac96bc6-360a-e811-92a8-005056ba00a8,2023-03-04
2012/6337,"Moranbah South Project Coal Mine, QLD",Under review,2014-11-20,2070-09-29,ANGLO AMERICAN METALLURGICAL COAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5b83de2d-2753-ec11-80cf-00505684c137,2023-03-04
2013/6791,Yarrabilba residential development and associated infrastructure,Under review,2014-11-13,2050-10-30,LEND LEASE COMMUNITIES AUSTRALIA LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=82780731-2613-eb11-9650-005056842ad1,2023-03-04
2013/6926,"Ext of coal mining within Open Cuts 1 & 2 and assoc infrastructure - Optimisation, NSW",Under review,2014-11-13,2064-12-30,MOOLARBEN COAL OPERATIONS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=624e3a0e-9ea3-e911-820b-00505684324c,2023-03-04
2013/7074,"Brentwood Residential Estate, Bellbird Park, Ipswich, QLD",Under review,2014-11-13,2033-11-18,Investa Properties Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9c94f6ca-6067-e511-b4b8-005056ba00ab,2023-03-04
2006/3201,Construction of a dam at Emu Swamp,Under review,2014-11-11,2074-11-12,Granite Belt Water Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8ae5c333-1d53-ec11-80cf-00505684c137,2023-03-04
2013/6989,Conroys Gap Wind Farm - Stage 2,Under review,2014-11-05,2049-12-30,EPURON PROJECTS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2878b2df-5552-ec11-80cf-00505684c137,2023-03-04
