EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2012/6324,Boundary Hill South Lease Extension,Under review,2017-03-24,2050-06-30,Batchfire Resources,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fc16a14e-4661-ec11-80d0-00505684c137,2023-03-08
2015/7463,"ATP1188 Anya development for 25 CSG wells, Dalby, Qld",Under review,2017-03-17,2052-03-03,QGC PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8b86a05d-01dd-ea11-a87e-005056842ad1,2023-03-08
2013/7083,"Develop the Mulga Rock Uranium Project, WA",Under review,2017-03-02,2041-12-31,Vimy Resources Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=dcda15f7-92ff-e611-a71a-005056ba00a8,2023-03-08
2009/5173,Lower Fitzroy River Infrastructure Project,Under review,2017-02-28,2046-02-25,Sunwater Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4089cab5-2353-ec11-80cf-00505684c137,2023-03-08
2015/7514,"Iron Hill Deposit mining project, mt Gibson Ranges, Shire of Yalgoo, WA",Under review,2017-02-08,2026-12-31,MOUNT GIBSON MINING LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=35437a08-df66-ed11-9561-00224818a727,2023-03-08
2016/7661,"Clearing of 12.8ha of native vegetation on Lots 19 and 20, Sixty Eight Road, Baldivis, WA",Under review,2017-02-01,2021-12-31,ABN Corporate Services Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=da212fba-d0d1-e811-a977-005056ba00a7,2023-03-08
2013/6978,Mt Owen continued coal mining operation,Under review,2017-01-19,2037-12-31,MT OWEN PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=87a7a963-50a8-e911-ad32-00505684324c,2023-03-08
2007/3423,Stage 3 expansion of New Acland Coal Mine,Under review,2017-01-18,2050-01-31,NEW ACLAND COAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1533dee8-5194-ec11-80d5-00505684c563,2023-03-08
2010/5671,Sale of 7.576ha of land for potential conversion to industrial estate,Under review,2017-01-13,2031-01-01,DOUG CAMERON,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=eb6347e1-9b96-eb11-80c3-00505684c137,2023-03-08
2014/7304,"Ellerton Drive Extension, East Queanbeyan, NSW",Under review,2017-01-10,2036-12-31,Queanbeyan Palerang Regional Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d6288400-91a3-e911-820b-00505684324c,2023-03-08
