EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2013/6965,"Kanmantoo Copper Mine Expansion, SA",Under review,2014-05-06,2064-12-31,HILLGROVE RESOURCES LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7b94f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2012/6562,"Townsville Ring Road, Section 4, QLD",Under review,2014-05-02,2049-05-06,Department of Transport and Main Roads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8795f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2012/6562,"Townsville Ring Road, Section 4, QLD",Under review,2014-05-02,2049-05-06,Department of Transport and Main Roads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8795f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2012/6393,Construction of South Deposit Tailing Storage Facility,Under review,2014-04-24,2045-12-31,GRANGE RESOURCES TASMANIA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=760e9be9-2753-ec11-80cf-00505684c137,2023-03-08
2012/6393,Construction of South Deposit Tailing Storage Facility,Under review,2014-04-24,2045-12-31,GRANGE RESOURCES TASMANIA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=760e9be9-2753-ec11-80cf-00505684c137,2023-03-08
2010/5457,Drake Open Cut Coal Mine,Under review,2014-04-22,2044-12-31,Drake Coal Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3392f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2010/5457,Drake Open Cut Coal Mine,Under review,2014-04-22,2044-12-31,Drake Coal Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3392f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2010/5741,Western Highway Project: Beaufort to Ararat,Under review,2014-04-17,2034-06-30,VicRoads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c592f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2010/5741,Western Highway Project: Beaufort to Ararat,Under review,2014-04-17,2034-06-30,VicRoads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c592f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
2010/5741,Western Highway Project: Beaufort to Ararat,Under review,2014-04-17,2034-06-30,VicRoads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c592f6ca-6067-e511-b4b8-005056ba00ab,2023-03-08
