EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2009/5162,Edwin Land Parkway Stage 2 - Jerrabomberra to Kambah,Under review,2010-05-10,2040-01-01,Queanbeyan City Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a091f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/5162,Edwin Land Parkway Stage 2 - Jerrabomberra to Kambah,Under review,2010-05-10,2040-01-01,Queanbeyan City Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a091f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/5029,"Construction of a high pressure buried gas pipeline, Kogan to Gladstone, QLD",Under review,2010-04-30,2040-04-30,SURAT GLADSTONE PIPELINE PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4e91f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/5175,Rolleston Open Cut Coal Mine Expansion,Under review,2010-04-12,2035-12-31,XSTRATA COAL QUEENSLAND PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a691f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/5167,Wodgina Direct Shipping Ore Project,Under review,2010-04-08,2020-12-31,Atlas Iron Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a491f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/5040,Construct and operate 79km rail spur,Under review,2010-03-30,2051-03-23,KARARA MINING LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5e973879-2353-ec11-80cf-00505684c137,2023-02-15
2009/4796,"Jandakot Airport Expansion, Commercial Development and Clearing of Vegetation",Under review,2010-03-25,2097-06-30,JANDAKOT AIRPORT HOLDINGS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/4796,"Jandakot Airport Expansion, Commercial Development and Clearing of Vegetation",Under review,2010-03-25,2097-06-30,JANDAKOT AIRPORT HOLDINGS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/4796,"Jandakot Airport Expansion, Commercial Development and Clearing of Vegetation",Under review,2010-03-25,2097-06-30,JANDAKOT AIRPORT HOLDINGS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1591f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2008/4419,Subdivide and Develop,Under review,2010-03-23,2039-12-31,Nords Wharf Development Company Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9d90f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
