EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2013/6784,"Twin Bonanza gold mining, processing & associated infrastructure project, NT",Under review,2014-07-21,2024-07-01,ABM RESOURCES NL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3c4b774b-6bae-ec11-80d3-00505684c137,2023-02-15
2013/6784,"Twin Bonanza gold mining, processing & associated infrastructure project, NT",Under review,2014-07-21,2024-07-01,ABM RESOURCES NL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3c4b774b-6bae-ec11-80d3-00505684c137,2023-02-15
2011/5812,Development of a residential subdivision including road and drainage infrastructure works,Under review,2014-07-21,2030-07-30,ASSET 1 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fc92f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2013/7050,"Primary school, residential development and open space, Lots 9000 Bottlebrush Drive, Kiara, WA",Under review,2014-07-17,2019-06-30,Housing Authority,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=55b04ad0-a904-e911-931a-00505684324c,2023-02-15
2011/6158,Open cut coal mine & associated infrastructure,Under review,2014-07-10,2064-07-01,COBBORA HOLDING COMPANY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1095f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2011/6158,Open cut coal mine & associated infrastructure,Under review,2014-07-10,2064-07-01,COBBORA HOLDING COMPANY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1095f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2011/6158,Open cut coal mine & associated infrastructure,Under review,2014-07-10,2064-07-01,COBBORA HOLDING COMPANY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1095f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2011/6158,Open cut coal mine & associated infrastructure,Under review,2014-07-10,2064-07-01,COBBORA HOLDING COMPANY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1095f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2011/6158,Open cut coal mine & associated infrastructure,Under review,2014-07-10,2064-07-01,COBBORA HOLDING COMPANY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1095f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2011/6158,Open cut coal mine & associated infrastructure,Under review,2014-07-10,2064-07-01,COBBORA HOLDING COMPANY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1095f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
