EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2006/3208,"Residential/Industrial subdivision, Lot 18, Vasse Highway, Shire of Busselton",Under review,2007-12-03,2027-12-31,Mary Donald Nominees Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cb93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2001/529,Green Point Wind Farm,Under review,2007-11-28,2038-12-31,WIND PROSPECT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7b92c686-3e3f-e711-998c-005056ba00a8,2023-02-15
2003/1011,Townsville Port Access Project (Road and Rail),Under review,2007-11-28,2030-07-01,QUEENSLAND TRANSPORT,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3560fec4-6067-e511-b4b8-005056ba00ab,2023-02-15
2006/3155,"Neighbourhood Shopping Centre and Mixed Business Centre, Ocean Road, Dawesville",Under review,2007-11-28,2027-12-31,Florida Beach Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ba93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2005/2153,Dawson Beach Estate Stage 2,Under review,2007-11-27,2027-11-30,JOAN BUSBY,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9393f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2006/3066,Residential development,Under review,2007-11-15,2027-10-31,R & E Developments Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a760fec4-6067-e511-b4b8-005056ba00ab,2023-02-15
2006/3063,Peel's Retreat Estate - Residential development,Under review,2007-11-08,2027-12-31,Burtonia Pty Ltd & Carine Nominees,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a360fec4-6067-e511-b4b8-005056ba00ab,2023-02-15
2006/3063,Peel's Retreat Estate - Residential development,Under review,2007-11-08,2027-12-31,Burtonia Pty Ltd & Carine Nominees,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a360fec4-6067-e511-b4b8-005056ba00ab,2023-02-15
2004/1624,"Residential development of Lot 3 RP 35335, Doolong Road South",Under review,2007-11-07,2027-12-31,THE GLADS DEVELOPMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5a93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2004/1624,"Residential development of Lot 3 RP 35335, Doolong Road South",Under review,2007-11-07,2027-12-31,THE GLADS DEVELOPMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5a93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
