EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2017/8108,"Clearing of Vegetation for High Value Agriculture, Byrne Valley Station, Kirknie, Queensland",Under review,2020-02-27,2046-08-07,A.M HEATLEY & J.M HEATLEY & L.A HEATLEY & The Trustee For HEATLEY FAMILY TRUST,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a0bff423-3053-ec11-80cf-00505684c137,2023-02-15
2017/7950,Earl Grey Lithium Project,Under review,2020-02-21,2069-12-31,Covalent Lithium Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f3fac0d8-22dd-eb11-80c6-00505684c137,2023-02-15
2019/8440,"Residential Subdivision, 199 Range Road, Mittagong, NSW",Under review,2020-02-17,2025-01-31,David Mackie,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=79f4d6b9-7652-ec11-80cf-00505684c137,2023-02-15
2015/7530,"Greater Flagstone master planned residential development, Undullah, Qld",Under review,2020-02-05,2050-02-01,Pioneer Fortune Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=96dec8e8-44d8-ea11-942e-00505684324c,2023-02-15
2010/5610,"Residential Development of Lot 7 DP 270109 Eldon Green, West Pennant Hills",Under review,2020-01-30,2040-01-31,Sanctuary Investments Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c6b10e97-2453-ec11-80cf-00505684c137,2023-02-15
2010/5610,"Residential Development of Lot 7 DP 270109 Eldon Green, West Pennant Hills",Under review,2020-01-30,2040-01-31,Sanctuary Investments Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c6b10e97-2453-ec11-80cf-00505684c137,2023-02-15
2018/8188,"Thornlie-Cockburn Link Project, WA",Under review,2020-01-20,2035-06-30,Public Transport Authority of Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4ca44d01-4db7-ea11-97dc-00505684324c,2023-02-15
2017/8062,"Upper Swan Urban Development, 25km north, north-east of Perth, WA",Under review,2020-01-16,2039-12-30,SATTERLEY PROPERTY GROUP PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=703411eb-19ab-ec11-80d6-00505684c563,2023-02-15
2017/8062,"Upper Swan Urban Development, 25km north, north-east of Perth, WA",Under review,2020-01-16,2039-12-30,SATTERLEY PROPERTY GROUP PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=703411eb-19ab-ec11-80d6-00505684c563,2023-02-15
2017/7956,"Squibbs Road Drainage Improvements, Spreyton, Tas",Under review,2020-01-10,2039-12-31,DEVONPORT CITY COUNCIL,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=41b8ee72-76bf-eb11-80c5-00505684c137,2023-02-15
