EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2021/8958,"Goyder South Hybrid Renewable Energy Facility - Wind Farm 1A, 10km south Burra",Under review,2022-07-05,2057-12-31,Goyder Wind Farm 1 Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b77b5511-da66-ed11-9561-00224818a727,2023-02-15
2020/8772,Boulder Creek Wind Farm,Under review,2022-06-30,2077-07-22,Boulder Creek Wind farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a242a8dd-de66-ed11-9561-00224818a6aa,2023-02-15
2020/8772,Boulder Creek Wind Farm,Under review,2022-06-30,2077-07-22,Boulder Creek Wind farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a242a8dd-de66-ed11-9561-00224818a6aa,2023-02-15
2020/8772,Boulder Creek Wind Farm,Under review,2022-06-30,2077-07-22,Boulder Creek Wind farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a242a8dd-de66-ed11-9561-00224818a6aa,2023-02-15
2019/8543,"Bunbury Outer Ring Road Southern Section project, WA",Under review,2022-06-29,2072-12-31,MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fd7f3c05-f966-ed11-9561-00224818a6aa,2023-02-15
2020/8716,Tilbuster Solar Farm,Under review,2022-06-27,2060-05-31,EP Sunspot 5 Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8831a460-f466-ed11-9561-00224818a6aa,2023-02-15
2019/8569,Western Outer Ring Main (WORM) – High pressure gas transmission pipeline,Under review,2022-06-24,2072-06-30,APA VTS AUSTRALIA (OPERATIONS) PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7c10759b-f866-ed11-9561-00224818a6aa,2023-02-15
2020/8846,Latrobe Levee,Under review,2022-06-06,2042-06-01,Latrobe Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2c58177b-eb66-ed11-9561-00224818a6aa,2023-02-15
2021/8965,"Woodbury Ridge Estate, Sutton",Under review,2022-06-03,2045-03-16,CAPITAL PLUS 1 WOODBURY RIDGE PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=842c5a0a-2869-ed11-81ac-00224818abd2,2023-02-15
2021/9002,Townsville City Council Ross River Dam to Douglas Water Treatment Plant Pipeline Project,Under review,2022-06-02,2027-06-30,Townsville City Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=24418242-da66-ed11-9561-00224818a6aa,2023-02-15
