EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2010/5571,Werris Creek Life of Mine Extension Project,Under review,2011-12-21,2032-12-31,WHITEHAVEN COAL LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7c92f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2010/5750,"Development of cabin, camping and possible hotel accomodation",Under review,2011-12-19,2021-12-31,LAND DEVELOPMENT AGENCY,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c992f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2010/5750,"Development of cabin, camping and possible hotel accomodation",Under review,2011-12-19,2021-12-31,LAND DEVELOPMENT AGENCY,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c992f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2011/6020,National Lifestyle Villages Development,Under review,2011-12-16,2029-12-31,Urban Capital Carramar Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cb94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2007/3585,"Residential Development at Pacific Pines Estate, Lennox Heads",Under review,2011-12-12,2031-12-31,Clarence Property Corporation Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f17cb582-3b9d-e511-8a4b-005056ba00a8,2023-02-15
2010/5337,Industry Zone,Under review,2011-11-30,2035-12-31,LANDCORP,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ed91f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2010/5337,Industry Zone,Under review,2011-11-30,2035-12-31,LANDCORP,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ed91f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2010/5337,Industry Zone,Under review,2011-11-30,2035-12-31,LANDCORP,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ed91f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/4706,Proposed West Pilbara Iron Ore Project,Under review,2011-11-27,2031-11-30,API MANAGEMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f490f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/4706,Proposed West Pilbara Iron Ore Project,Under review,2011-11-27,2031-11-30,API MANAGEMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f490f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
