EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2008/4083,Concept Plan Proposal for residential and commercial development of UTS Kuring-,Under review,2011-02-21,2031-01-01,DEFENCE HOUSING AUSTRALIA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f360fec4-6067-e511-b4b8-005056ba00ab,2023-02-15
2008/4083,Concept Plan Proposal for residential and commercial development of UTS Kuring-,Under review,2011-02-21,2031-01-01,DEFENCE HOUSING AUSTRALIA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f360fec4-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/4974,Expansion of Coal Seam Gas Fields,Under review,2011-02-21,2061-02-22,AUSTRALIA PACIFIC LNG PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3e91f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/4977,LNG Plant and Ancillary onshore and marine facilities,Under review,2011-02-21,2061-02-22,AUSTRALIA PACIFIC LNG PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4091f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2008/4454,Yallourn Coal Field Re-alignment Project,Under review,2011-02-15,2035-11-30,TRUENERGY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b390f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2010/5586,Upgrade of the Pacific Highway from single to dual carriageway in each direction,Under review,2011-02-14,2035-02-14,Roads and Maritime Services,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8092f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/4719,Stockyard Hill Wind Farm,Under review,2011-02-11,2050-12-31,Stockyard Hill Wind Farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3fff987f-2253-ec11-80cf-00505684c137,2023-02-15
2010/5693,Parklands West Estate Development,Under review,2011-01-27,2025-12-31,Mirvac (WA) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ab92f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/5003,Conversion from Continuous Miner Operation to Longwall Miner Operation,Under review,2011-01-21,2040-12-31,NARRABRI COAL OPERATIONS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4691f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2009/5003,Conversion from Continuous Miner Operation to Longwall Miner Operation,Under review,2011-01-21,2040-12-31,NARRABRI COAL OPERATIONS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4691f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
