EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2004/1716,"Raising of Lenthalls Dam, Doongal Creek",Under review,2006-06-08,2056-06-30,WIDE BAY WATER CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6693f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2005/2389,Development of a resort complex,Under review,2006-06-07,2026-07-01,OASIS MISSION BEACH PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8060fec4-6067-e511-b4b8-005056ba00ab,2023-02-15
2004/1770,Open Cut Coal Mining,Under review,2006-06-02,2042-12-01,BHP MITSUI COAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6893f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2004/1878,East Busselton Residential Estate,Under review,2006-04-03,2036-12-31,Almond Lake Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7293f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2001/184,Murray Valley Drain 11,Under review,2006-03-07,2056-01-01,Goulburn-Murray Water,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=39ace50f-cb50-ec11-80cf-00505684c137,2023-02-15
2004/1861,Tugun Bypass,Under review,2006-02-16,2016-12-31,QUEENSLAND DEPARTMENT OF MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7093f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2004/1706,Development of 90 residential lots with associated public roads and underground,Under review,2006-01-19,2011-12-31,K & T Developments Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6493f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2005/2191,Clarence Valley and Coffs Harbour Regional Water Supply Project,Under review,2006-01-11,2055-12-31,North Coast Water,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9f93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-15
2002/543,Expansion of Port Botany facilities,Under review,2006-01-03,2025-12-01,Newcastle Port Corporation,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=842428dd-d9dd-e611-9a9c-005056ba00a7,2023-02-15
2005/1990,Replacement of Existing Bayles Bridges 1 and 2 on Koo Wee Rup - Longwarry Road over Yallock Creek,Under review,2006-01-03,2010-06-30,VICROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=93586da3-dbdd-e611-9a9c-005056ba00a7,2023-02-15
