EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2001/434,Christmas Island Airport Expansion,Under review,2003-06-26,2053-06-26,DEPARTMENT OF TRANSPORT REGIONAL SERVICES TERRITORIES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9299af79-0275-ed11-81ac-000d3ae0929c,2023-02-15
2001/497,Open-cut Coal Mine/Steaming Coals,Under review,2003-04-16,2038-04-16,MIM HOLDINGS LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fe5ffec4-6067-e511-b4b8-005056ba00ab,2023-02-15
2002/782,Hunter employment zone road construction,Under review,2003-02-24,2007-02-24,HEZ PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a76aa7e4-0375-ed11-81ac-000d3ae0929c,2023-02-15
2001/436,Road Upgrade/Construction between Lily Beach Road and Port Faci,Under review,2002-11-25,2052-11-27,DEPARTMENT OF TRANSPORT REGIONAL SERVICES TERRITORIES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=bd938600-d9dd-e611-9a9c-005056ba00a7,2023-02-15
2002/575,Moriah War Memorial College expansion,Under review,2002-10-25,2052-10-28,MORIAH WAR MEMORIAL COLLEGE,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c779d03b-dadd-e611-9a9c-005056ba00a7,2023-02-15
2001/435,Christmas Island Port Facility,Under review,2002-08-21,2052-08-21,DEPARTMENT OF TRANSPORT REGIONAL SERVICES TERRITORIES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1d5e9cb1-d8dd-e611-9a9c-005056ba00a7,2023-02-15
2001/164,Peregian Springs Residential Development,Under review,2002-07-09,2015-07-01,FORRESTER RESIDENTIAL DEVELOPMENTS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1b919e61-d1dd-e611-bdfe-005056ba00a8,2023-02-15
2001/422,Water Storage Reservoir,Under review,2002-01-25,2052-01-01,Burnett Water Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6c60fec4-6067-e511-b4b8-005056ba00ab,2023-02-15
2001/196,Melbourne Airport Rail Link - Broadmeadows Route,Under review,2001-11-16,2051-12-31,Department of Infrastructure,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=73dc7900-d4dd-e611-bdfe-005056ba00a8,2023-02-15
2000/12,Wind Farm Construction,Under review,2001-08-23,2051-08-31,HYDRO-ELECTRIC CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5cad404e-286a-ed11-81ac-00224818a6aa,2023-02-15
