EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2021/8926,"Kemps Creek Warehouse, Logistics and Industrial Facilities Hub",Under review,2021-10-04,2045-09-29,Altis Frasers JV Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ec372997-ef66-ed11-9561-00224818a6aa,2023-03-01
2018/8280,"Mangoola Coal Continued Operations Project, NSW",Under review,2021-09-30,2040-12-30,MANGOOLA COAL OPERATIONS PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0afba1fe-3469-ed11-81ac-00224818aa41,2023-03-01
2017/7923,"Residential developmnt, Lots 11 and 74 Beenyup Road, Banjup, WA",Under review,2021-09-14,2050-12-30,The trustee for The Bellridge Trust,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=edece804-3569-ed11-81ac-00224818aa41,2023-03-01
2020/8801,"The Poplars, Jerrabomberra, NSW",Under review,2021-09-12,2060-12-30,Poplars Developments Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e285194d-3959-ec11-80d2-00505684c563,2023-03-01
2019/8516,"Residential Development, Collingwood Park, Ipswich, Qld",Under review,2021-09-05,2051-12-30,HB QLD Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2b6958c7-6026-ec11-80c9-00505684c137,2023-03-01
2020/8702,Russell Vale Colliery Revised Underground Expansion Project,Under review,2021-08-30,2067-12-30,Wollongong Coal Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f9952a50-f666-ed11-9561-00224818a6aa,2023-03-01
2019/8608,Tonkin Highway Extension – Thomas Road to South Western Highway,Under review,2021-08-17,2056-07-31,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=672bdcbf-f766-ed11-9561-00224818a6aa,2023-03-01
2019/8554,Woolooga Solar Farms,Under review,2021-02-18,2051-03-04,LIGHTSOURCE DEVELOPMENT SERVICES AUSTRALIA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=51b97637-7122-ec11-80c9-00505684c137,2023-03-01
2019/8601,"Miralga Creek Project, Pilbara region, WA",Under review,2021-02-17,2050-11-29,ATLAS IRON LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f13047ca-df66-ed11-9561-00224818a727,2023-03-01
2019/8601,"Miralga Creek Project, Pilbara region, WA",Under review,2021-02-17,2050-11-29,ATLAS IRON LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f13047ca-df66-ed11-9561-00224818a727,2023-03-01
2019/8584,"Warrawoona Gold Project, Pilbara Region, WA",Under review,2021-02-11,2050-12-30,Calidus Resources Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=406b072a-3553-ec11-80cf-00505684c137,2023-03-01
2019/8582,City to Commonwealth Park Light Rail 2A,Under review,2021-02-01,2041-06-29,Major Projects Canberra,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9e38476a-7752-ec11-80cf-00505684c137,2023-03-01
2020/8645,489A Robinsons Road Truganina,Under review,2021-01-21,2041-06-29,Lendlease IMT (SM) Pty Ltd ACN 127 727 404 as trustee for the Robinsons JV Trust (ACN: 127 727 404),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cafd75f2-1a82-eb11-80c2-00505684c137,2023-03-01
2012/6558,Port of Gladstone Gatcombe & Golding Cutting Channel Duplication Project,Under review,2020-12-23,2045-12-23,Gladstone Ports Corporation Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4539bc33-2b53-ec11-80cf-00505684c137,2023-03-01
2019/8471,"Bunbury Outer Ring Road Northern and Central Section Project, WA",Under review,2020-12-20,2070-12-30,MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=22cc7e21-100a-ec11-80cb-00505684c563,2023-03-01
2019/8546,"Morley-Ellenbrook Rail Line Part 2, WA",Under review,2020-12-16,2039-12-31,Public Transport Authority of Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=13a0e1c5-3353-ec11-80cf-00505684c137,2023-03-01
2017/8112,"Asian Renewable Energy Hub, 220 km east of Port Hedland, Western Australia",Under review,2020-12-15,2085-12-30,NW INTERCONNECTED POWER PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=58563472-3053-ec11-80cf-00505684c137,2023-03-01
2020/8640,"Residential Subdivision, 803-853 Taylors Road, Caroline Springs, 3023, Victoria",Under review,2021-12-15,2060-01-29,Jen & Jacq Developments Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7ccbd335-f766-ed11-9561-00224818a6aa,2023-03-01
2020/8839,Moorebank Avenue Realignment,Under review,2021-12-06,2051-12-02,National lntermodal Corporation,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7080c6f0-eb66-ed11-9561-00224818a6aa,2023-03-01
2020/8769,"Albany Ring Road Stages 2 and 3B, WA",Under review,2021-11-21,2056-11-30,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f6cc5691-e666-ed11-9561-00224818a6aa,2023-03-01
2018/8361,"Residential development of Lots 635, 739 and 740 on Deposited Plan 202751, Baldivis Road, Baldivis, WA",Under review,2021-11-18,2046-09-30,Novalee Nominees Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f8d067f6-fb66-ed11-9561-00224818a6aa,2023-03-01
2017/8094,"Yalyalup Mineral Sands Project, WA",Under review,2021-11-11,2071-11-29,DORAL MINERAL SANDS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=13770c84-4469-ed11-81ac-00224818aa41,2023-03-01
