EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2013/6943,"Proposal to expande existing clay operations on Lot 1 Morangup Road, Morangup, WA",Under review,2014-09-02,2069-12-31,Bristile Holdings Ltd (trading as Austral Bricks (WA) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6e94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2013/7091,"Mitchell Freeway Extension between Burns Beach Rd and Hester Av, Neerabup, WA",Under review,2014-09-02,2024-10-31,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9e94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2013/6916,"Develop three sites into residential housing and mixed use developments, Western Australia",Under review,2014-08-29,2024-07-31,Western Australian Land Authority trading as DevelopmentWA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6c94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2013/6916,"Develop three sites into residential housing and mixed use developments, Western Australia",Under review,2014-08-29,2024-07-31,Western Australian Land Authority trading as DevelopmentWA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6c94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2012/6394,"Upgrading the Pacific Highway - Woolgoolga to Ballina Upgrade, NSW",Under review,2014-08-14,2064-12-31,NSW ROADS AND MARITIME SERVICES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d30421c3-34ac-ea11-8a09-00505684324c,2023-02-14
2011/5939,Jumrum Rainforest Estate,Under review,2014-08-05,2024-07-31,JUMRUM RAINFOREST PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b10a88cb-4952-ec11-80cf-00505684c137,2023-02-14
2014/7126,"Residential Estate Development, Lot 682 Rowley Road, Mandogalup, Western Australia",Under review,2014-08-04,2024-07-31,QUBE MANDOGALUP DEVELOPMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9df3dca2-a517-ea11-8aa6-005056842ad1,2023-02-14
2013/7064,"Bluff open cut coal mine project, central Queensland",Under review,2014-07-31,2034-07-01,Bowen PCI Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6eec5919-7843-ec11-80d1-00505684c563,2023-02-14
2013/7064,"Bluff open cut coal mine project, central Queensland",Under review,2014-07-31,2034-07-01,Bowen PCI Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6eec5919-7843-ec11-80d1-00505684c563,2023-02-14
2014/7154,"Expansion of Peculiar Knob Iron Ore Project, 90 south east of Coober Pedy, SA",Under review,2014-07-29,2036-12-31,SOUTHERN IRON PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5fc58d8d-5652-ec11-80cf-00505684c137,2023-02-14
