EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2008/4432,Gloucester Coal Seam Methane Gas Project,Under review,2013-02-11,2062-11-30,AGL GLOUCESTER LE PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ad90f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2008/4432,Gloucester Coal Seam Methane Gas Project,Under review,2013-02-11,2062-11-30,AGL GLOUCESTER LE PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ad90f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2009/5256,Extension to Existing Operations at Boggabri Coal Mine,Under review,2013-02-11,2053-12-31,BOGGABRI COAL PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d791f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2010/5566,Maules Creek Coal Project,Under review,2013-02-11,2053-12-31,ASTON COAL 2 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7592f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2010/5566,Maules Creek Coal Project,Under review,2013-02-11,2053-12-31,ASTON COAL 2 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7592f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2010/5566,Maules Creek Coal Project,Under review,2013-02-11,2053-12-31,ASTON COAL 2 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7592f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2010/5566,Maules Creek Coal Project,Under review,2013-02-11,2053-12-31,ASTON COAL 2 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7592f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2010/5566,Maules Creek Coal Project,Under review,2013-02-11,2053-12-31,ASTON COAL 2 PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7592f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2011/5800,Diversion of a stretch of Coral Creek to expand the northern reach of the open-cut pit mine,Under review,2013-02-07,2032-12-30,SONOMA MINE MANAGEMENT PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f892f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
2010/5640,Princes Highway Duplication - Traralgon East to Fulham,Under review,2013-01-23,2027-01-31,VicRoads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9492f6ca-6067-e511-b4b8-005056ba00ab,2023-02-14
