EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2001/434,Christmas Island Airport Expansion,Under review,2003-06-26,2053-06-26,DEPARTMENT OF TRANSPORT REGIONAL SERVICES TERRITORIES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9299af79-0275-ed11-81ac-000d3ae0929c,2023-02-13
2002/782,Hunter employment zone road construction,Under review,2003-02-24,2007-02-24,HEZ PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a76aa7e4-0375-ed11-81ac-000d3ae0929c,2023-02-13
2009/5063,"Williamtown Aerospace Park, industrial subdivision and development to service e",Under review,2011-07-27,2031-12-31,Newcastle Airport Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=df4f3c77-1471-ed11-81ab-002248156004,2023-02-13
2010/5313,South Morang Rail Extension Project,Under review,2010-09-28,2025-09-01,DEPARTMENT OF TRANSPORT,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2cbe5e72-cf6a-ed11-81ac-002248156aec,2023-02-13
2010/5642,South of the Embley Bauxite Mining Project,Under review,2013-05-14,2063-05-21,RTA WEIPA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6ab42ebd-ef6a-ed11-81ac-002248156aec,2023-02-13
2009/4976,Construct and operate 447km high pressure gas transmission pipeline,Under review,2011-02-21,2061-02-22,AUSTRALIA PACIFIC LNG PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8d5721e5-a46e-ed11-81ac-0022481867fa,2023-02-13
2009/4977,LNG Plant and Ancillary onshore and marine facilities,Under review,2011-02-21,2061-02-22,AUSTRALIA PACIFIC LNG PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=55a9c59e-a86e-ed11-81ac-0022481867fa,2023-02-13
2009/5176,Development of Accommodation Cabins and Associated Facilities on Lot 9 on RP727,Under review,2010-12-14,2050-12-31,AMSAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a91122a3-b46e-ed11-81ac-0022481867fa,2023-02-13
2008/4096,Gas Pipeline with Alternative Pipleine to Supply Natural Gas Liquefaction Park,Under review,2010-10-22,2060-10-31,Santos Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e0a5f78d-675e-ed11-9562-0022481867fa,2023-02-13
2008/4398,Development of Existing Coal Seam Gas Fields,Under review,2010-10-22,2060-10-31,BG INTERNATIONAL LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f3d361d6-446c-ed11-81ac-00224818a31f,2023-02-13
