EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2020/8772,Boulder Creek Wind Farm,Under review,2022-06-30,2077-07-22,Boulder Creek Wind farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a242a8dd-de66-ed11-9561-00224818a6aa,2023-02-13
2020/8772,Boulder Creek Wind Farm,Under review,2022-06-30,2077-07-22,Boulder Creek Wind farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a242a8dd-de66-ed11-9561-00224818a6aa,2023-02-13
2020/8772,Boulder Creek Wind Farm,Under review,2022-06-30,2077-07-22,Boulder Creek Wind farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a242a8dd-de66-ed11-9561-00224818a6aa,2023-02-13
2020/8769,"Albany Ring Road Stages 2 and 3B, WA",Under review,2021-11-22,2056-12-01,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f6cc5691-e666-ed11-9561-00224818a6aa,2023-02-13
2020/8768,Monaro Highway - Lanyon Drive Upgrade Package 1C,Under review,2022-03-15,2052-06-30,Transport Canberra and City Services,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=ae533244-e866-ed11-9561-00224818a6aa,2023-02-13
2020/8764,"Byford Rail Extension, Byford, WA",Under review,2022-02-07,2056-01-01,The Public Transport Authority of Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e5ff73ae-e866-ed11-9561-00224818a6aa,2023-02-13
2020/8759,Overhead Transmission Line – MacIntyre Wind Energy Precinct,Under review,2022-02-22,2067-12-31,ACCIONA ENERGY AUSTRALIA GLOBAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=885ff91c-e966-ed11-9561-00224818a6aa,2023-02-13
2020/8756,MacIntyre Wind Farm Project,Under review,2022-02-22,2067-12-31,ACCIONA ENERGY AUSTRALIA GLOBAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6ce209a8-e966-ed11-9561-00224818a6aa,2023-02-13
2021/8883,Lot 20 and 42 Marriot Road Commercial Development,Under review,2022-02-03,2062-02-03,Western Australian Land Authority trading as DevelopmentWA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=13818e21-ea66-ed11-9561-00224818a6aa,2023-02-13
2020/8864,Specimen Hill Wind Farm,Under review,2022-09-08,2077-09-01,Specimen Hill Wind Farm Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=aa2384bc-ea66-ed11-9561-00224818a6aa,2023-02-13
