EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2007/3483,tourist and residential development,Under review,2011-03-03,2031-12-30,Smiths Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1094f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2007/3483,tourist and residential development,Under review,2011-03-03,2031-12-30,Smiths Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=1094f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2009/4890,Rural Residential Development & Associated Infrastructure,Under review,2011-03-02,2026-06-30,DENHOLDER REMOVALS AND STORAGE PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2c91f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2009/4976,Construct and operate 447km high pressure gas transmission pipeline,Under review,2011-02-21,2061-02-22,AUSTRALIA PACIFIC LNG PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fd528c18-3790-eb11-80c3-00505684c137,2023-03-18
2009/4977,LNG Plant and Ancillary onshore and marine facilities,Under review,2011-02-21,2061-02-22,AUSTRALIA PACIFIC LNG PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4091f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2009/4976,Construct and operate 447km high pressure gas transmission pipeline,Under review,2011-02-21,2061-02-22,AUSTRALIA PACIFIC LNG PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=fd528c18-3790-eb11-80c3-00505684c137,2023-03-18
2008/4083,Concept Plan Proposal for residential and commercial development of UTS Kuring-,Under review,2011-02-21,2031-01-01,DEFENCE HOUSING AUSTRALIA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f360fec4-6067-e511-b4b8-005056ba00ab,2023-03-18
2008/4083,Concept Plan Proposal for residential and commercial development of UTS Kuring-,Under review,2011-02-21,2031-01-01,DEFENCE HOUSING AUSTRALIA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f360fec4-6067-e511-b4b8-005056ba00ab,2023-03-18
2009/4974,Expansion of Coal Seam Gas Fields,Under review,2011-02-21,2061-02-22,AUSTRALIA PACIFIC LNG PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3e91f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2009/4977,LNG Plant and Ancillary onshore and marine facilities,Under review,2011-02-21,2061-02-22,AUSTRALIA PACIFIC LNG PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4091f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
