EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2006/3196,Cadia East Project - extension of copper/gold mine within Mining Lease (ML) 1405,Under review,2010-02-18,2031-06-30,CADIA HOLDINGS PTY LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c993f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2005/2163,Mineral Sands Mine,Under review,2010-02-16,2025-12-31,Keysbrook Leucoxene Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9b93f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2009/5164,Hume Highway Upgrade - 9.5km dual carriageway bypass of Holbrook,Under review,2010-02-11,2024-01-01,ROADS AND TRAFFIC AUTHORITY RTA OF NSW,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a291f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2009/4930,Nullagine Iron Ore Project,Under review,2010-02-05,2025-12-31,FMG Nullagine Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2f163f56-d750-ec11-80cf-00505684c137,2023-03-18
2009/5002,Proposed Upgrade of the Pacific Highway between Franklins Road and Eight Mile L,Under review,2010-01-13,2025-01-13,ROADS AND TRAFFIC AUTHORITY OF NSW,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4291f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2006/3186,Upgrade of Keepit Dam on the Namoi River,Under review,2010-01-10,2100-12-31,State Water Corporation,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c293f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2009/5159,Blackman Rivulet Dam at Bangor Farm,Under review,2010-01-07,2020-01-01,MATT DUNBABIN,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9c91f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2007/3809,Koolanooka/Blue Hills Iron Ore Mining Project,Under review,2010-01-04,2050-12-31,MIDWEST CORPORATION LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3b94f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2008/4128,Mortlake Wind Farm,Under review,2009-12-23,2059-11-15,ACCIONA ENERGY,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a6427f22-e3dd-e611-bdfe-005056ba00a8,2023-03-18
2009/4856,Upgrade and realignment of a 5km long section of the Western Highway,Under review,2009-12-15,2019-12-31,VicRoads,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2191f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
