EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2013/6837,Expansion of the Methanol Plant at 171-181 Fitzgerald Road,Under review,2014-10-14,2044-06-30,COOGEE ENERGY PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5838b04e-a841-e611-bc6a-005056ba00a7,2023-03-18
2012/6459,"Arrow Bowen Pipeline (CSG), QLD",Under review,2014-10-02,2058-12-31,Arrow Energy Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3146bc65-2853-ec11-80cf-00505684c137,2023-03-18
2012/6459,"Arrow Bowen Pipeline (CSG), QLD",Under review,2014-10-02,2058-12-31,Arrow Energy Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3146bc65-2853-ec11-80cf-00505684c137,2023-03-18
2010/5778,Develop the Byerwen Coal Mine,Under review,2014-10-02,2044-09-30,BYERWEN COAL PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=28b5b98e-84e1-e811-b86c-005056ba00a7,2023-03-18
2013/6751,Clearing of vegetation for the Gainsborough Greens residential subdivision,Under review,2014-09-18,2029-09-18,MIRVAC PACIFIC PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b795f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2012/6447,"Atlas-Campaspe Mineral Sands Project, NSW",Under review,2014-09-04,2064-08-31,Bemax,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6d95f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2013/6943,"Proposal to expande existing clay operations on Lot 1 Morangup Road, Morangup, WA",Under review,2014-09-02,2069-12-31,Bristile Holdings Ltd (trading as Austral Bricks (WA) Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6e94f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2013/7091,"Mitchell Freeway Extension between Burns Beach Rd and Hester Av, Neerabup, WA",Under review,2014-09-02,2024-10-31,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9e94f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2013/6916,"Develop three sites into residential housing and mixed use developments, Western Australia",Under review,2014-08-29,2024-07-31,Western Australian Land Authority trading as DevelopmentWA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6c94f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
2013/6916,"Develop three sites into residential housing and mixed use developments, Western Australia",Under review,2014-08-29,2024-07-31,Western Australian Land Authority trading as DevelopmentWA,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6c94f6ca-6067-e511-b4b8-005056ba00ab,2023-03-18
