EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2017/8018,Geelong-Bacchus Marsh Road Upgrade Project,Under review,2019-07-07,2032-06-30,ROADS CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=92c2b48d-eb82-eb11-80c5-00505684c563,2023-02-19
2018/8316,"Roe Highway and Kalamunda Road Interchange upgrade, WA",Under review,2019-07-07,2039-12-31,MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=471332b6-0da9-ec11-80d6-00505684c563,2023-02-19
2017/8008,"O'Herns Road and Hume Freeway Interchange Project, Vic",Under review,2019-06-17,2039-06-30,"Department of Economic Development, Jobs, Transport, and Resources (Major Road Projects Authority)",https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5efd4bdf-eb82-eb11-80c5-00505684c563,2023-02-19
2016/7755,"Staged redevelopment of 215 and 325C Cooper Street, Epping, Victoria",Under review,2019-05-24,2034-04-01,Bridley Epping Pty Ltd & Caruso Epping Unit Trust & Sterling Epping Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5c6e3c19-5085-eb11-80c5-00505684c563,2023-02-19
2016/7755,"Staged redevelopment of 215 and 325C Cooper Street, Epping, Victoria",Under review,2019-05-24,2034-04-01,Bridley Epping Pty Ltd & Caruso Epping Unit Trust & Sterling Epping Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5c6e3c19-5085-eb11-80c5-00505684c563,2023-02-19
2018/8138,"Clearing and sand extraction, Lot 3 Buller Road, Waroona, WA",Under review,2019-05-21,2039-12-31,AMG (WA) PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5aced359-2d69-ed11-81ac-00224818a758,2023-02-19
2017/7881,"Spring Gully CSG North West and North East Development, Surat Basin, Qld",Under review,2019-04-15,2079-04-01,Australia Pacific LNG Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2a31f3b0-ef32-ec11-80d0-00505684c563,2023-02-19
2009/4906,Yeelirrie Uranium Mine,Under review,2019-04-10,2043-12-31,CAMECO AUSTRALIA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=85dfc6af-2253-ec11-80cf-00505684c137,2023-02-19
2015/7550,Newcastle inner city bypass Rankin Park to Jesmond NSW,Under review,2019-04-05,2040-03-31,Roads and Maritime Services,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7f1d11a1-6352-ec11-80cf-00505684c137,2023-02-19
2016/7846,"Residential development and bushfire protection within part Lot 9006 Reilly Road, Harrisdale, WA",Under review,2019-03-17,2029-12-31,Satterley Reilly Rd Harrisdale Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=af95b749-a4b1-e911-9566-005056842ad1,2023-02-19
