EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2013/7026,"Uungula Wind Farm, Goolma, NSW",Under review,2021-08-03,2060-01-01,UUNGULA WIND FARM PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a83c77f5-375d-ec11-80d2-00505684c563,2023-02-19
2019/8529,Tonkin Highway Grade Separated Interchanges,Under review,2021-07-14,2056-08-01,MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=668ccd6e-f966-ed11-9561-00224818a6aa,2023-02-19
2020/8800,Bussell Highway Duplication Hutton to Sabina,Under review,2021-06-30,2056-08-01,Main Roads Western Australia,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=043125e1-2506-ec11-80c8-00505684c137,2023-02-19
2019/8563,Gippsland Rail Line Upgrade - Pakenham to Longwarry East,Under review,2021-06-25,2041-06-30,DEPARTMENT OF TRANSPORT,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=dca13633-e166-ed11-9561-00224818a727,2023-02-19
2019/8530,Holcim Colac Quarry Expansion- Stage 5 and Stage 6,Under review,2021-06-09,2046-06-30,HOLCIM (AUSTRALIA) PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a480daf6-e566-ed11-9561-00224818a727,2023-02-19
2020/8687,"Sydney Metro, Western Sydney Airport - St Marys to Elizabeth Drive",Under review,2021-06-03,2100-12-31,Sydney Metro,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=88982f68-3553-ec11-80cf-00505684c137,2023-02-19
2018/8286,"M12 Motorway Project, Luddenham, NSW",Under review,2021-06-03,2100-12-31,Transport for NSW,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0157f94b-7252-ec11-80d2-00505684c563,2023-02-19
2020/8837,Rye Park Wind Farm,Under review,2021-06-01,2055-06-01,Rye Park Renewable Energy Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3b6550a2-3553-ec11-80cf-00505684c137,2023-02-19
2018/8290,"Service centre, 6 Honeman Close, Huntingwood, NSW",Under review,2021-06-01,2041-06-01,Microsoft Datacenter (Australia) Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=16331563-7252-ec11-80d2-00505684c563,2023-02-19
2019/8413,"Isaac Downs coal mine project, near Moranbah, Qld",Under review,2021-05-26,2060-12-31,STANMORE IP SOUTH PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7f2ac5ce-e927-ec11-80c9-00505684c137,2023-02-19
