EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2016/7695,"Latitude 32-industrial development of various lots, Ashley and Sayer Roads, Hope Valley, WA",Under review,2018-10-09,2045-12-31,Western Australian Land Authority (LandCorp),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a61c1f5b-b3b1-e911-9566-005056842ad1,2023-02-19
2017/7901,"Proposed Transport Depot & Warehouse Development - Lot 195 Great Northern Highway, Muchea",Under review,2018-10-08,2033-07-21,INSTANT PRODUCTS GROUP PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=620361a5-8bc5-ea11-97dc-00505684324c,2023-02-19
2016/7648,"Thunderbird Mineral Sands Project, WA",Under review,2018-09-27,2073-06-30,Thunderbird Operations Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=645401a6-2b53-ec11-80cf-00505684c137,2023-02-19
2017/7930,"Industrial Development of 165-195 O’Herns Road, Epping VIC",Under review,2018-09-25,2038-08-01,Alliance Business Park Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cefd6973-8635-e911-8a22-00505684324c,2023-02-19
2017/7930,"Industrial Development of 165-195 O’Herns Road, Epping VIC",Under review,2018-09-25,2038-08-01,Alliance Business Park Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cefd6973-8635-e911-8a22-00505684324c,2023-02-19
2017/7930,"Industrial Development of 165-195 O’Herns Road, Epping VIC",Under review,2018-09-25,2038-08-01,Alliance Business Park Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=cefd6973-8635-e911-8a22-00505684324c,2023-02-19
2012/6424,"Neerabup Industrial Estate, Lot 701 Flynn Drive Neerabup WA",Under review,2018-09-20,2033-06-30,WESTERN AUSTRALIAN LAND AUTHORITY TRADING AS LANDCORP,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=143018d9-4ac9-e911-8be7-00505684324c,2023-02-19
2017/7872,"Residential and commercial development on part 19 (Lot 6) Taronga Place, Eglinton, WA",Under review,2018-09-18,2028-12-31,Urban Quarter Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=21a49037-9eb1-e911-9566-005056842ad1,2023-02-19
2016/7731,"Parkes to Narromine Section Inland Rail, NSW",Under review,2018-08-31,2038-08-30,Australian Rail Track Corporation Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=593bc0e8-6a52-ec11-80d2-00505684c563,2023-02-19
2017/8047,"Lakeland Wind Farm, far north Qld",Under review,2018-08-14,2055-08-30,LAKELAND WIND FARM PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=891d5c0b-2f53-ec11-80cf-00505684c137,2023-02-19
