EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2007/3384,Industrial subdivision,Under review,2008-12-04,2028-12-04,FOLKESTONE LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e393f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2007/3384,Industrial subdivision,Under review,2008-12-04,2028-12-04,FOLKESTONE LIMITED,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e393f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2006/3157,Wyaralong Dam,Under review,2008-11-24,2058-12-31,Burnett Water Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c093f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2006/3001,"VicUrban Residential Development, Officer",Under review,2008-10-14,2033-07-31,VICURBAN,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=9b60fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
2008/3960,Sugarloaf Water Pipeline Project,Under review,2008-09-12,2033-07-01,Nonda Street Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c260fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
2008/3960,Sugarloaf Water Pipeline Project,Under review,2008-09-12,2033-07-01,Nonda Street Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=c260fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
2006/3104,Spinifex Ridge Molybdenum Project,Under review,2008-09-01,2033-09-01,MOLY METALS AUSTRALIA PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b493f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2006/3135,Residential subdivision of Lot 3 RP 185332,Under review,2008-08-20,2027-08-31,FRASER COAST PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b693f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2005/2393,South Sydney Freight Rail Line,Under review,2008-08-13,2020-06-30,AUSTRALIAN RAIL TRACK CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8260fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
2007/3925,Blackwater creek diversion and coal mine,Under review,2008-07-25,2030-01-02,Wesfarmers Curragh Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b160fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
