EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2005/2335,"Lilliponds Residential Resort Estate, Tully Mission Beach Road",Under review,2007-09-12,2027-10-01,Your Resort home Pty Ltd,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=7a60fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
2003/1143,Toowoomba Bypass Highway Corridor,Under review,2007-09-11,2022-12-31,QUEENSLAND DEPARTMENT OF MAIN ROADS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=3960fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
2003/1174,"Pacific Highway, Bulahdelah Upgrade",Under review,2007-09-10,2015-12-31,NSW ROADS AND TRAFFIC AUTHORITY,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4160fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
2003/1174,"Pacific Highway, Bulahdelah Upgrade",Under review,2007-09-10,2015-12-31,NSW ROADS AND TRAFFIC AUTHORITY,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4160fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
2005/2394,Subdivision Lot 1 Dawesville Rd,Under review,2007-08-29,2027-12-31,WATERMARK ENTERPRISES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8660fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
2005/2394,Subdivision Lot 1 Dawesville Rd,Under review,2007-08-29,2027-12-31,WATERMARK ENTERPRISES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=8660fec4-6067-e511-b4b8-005056ba00ab,2023-02-19
2005/2202,Wollar to Wellington 330kV Transmission Line Project,Under review,2007-08-14,2057-08-01,NSW Electricity Network Operations Pty Limited,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a593f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2007/3330,Hume Highway upgrade,Under review,2007-08-02,2057-08-01,NSW ROADS AND MARITIME SERVICES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=db93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2007/3330,Hume Highway upgrade,Under review,2007-08-02,2057-08-01,NSW ROADS AND MARITIME SERVICES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=db93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
2007/3330,Hume Highway upgrade,Under review,2007-08-02,2057-08-01,NSW ROADS AND MARITIME SERVICES,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=db93f6ca-6067-e511-b4b8-005056ba00ab,2023-02-19
